model,type,experiment,threshold,accuracy,precision,recall,f1,auc_roc,avg_precision
MLP-Aug,DL,A,0.5,0.6876,0.4492,0.7087,0.5499,0.7601,0.5899
MLP-Aug (t=0.48),DL,A,0.4751,0.6693,0.4353,0.767,0.5554,0.7601,0.5899
TabNet-Aug,DL,A,0.5,0.6889,0.4518,0.7282,0.5576,0.7701,0.5709
TabNet-Aug (t=0.48),DL,A,0.4751,0.681,0.4444,0.7379,0.5547,0.7701,0.5709
MLP-Orig,DL,B,0.5,0.6928,0.4508,0.6456,0.5309,0.7622,0.6175
MLP-Orig (t=0.26),DL,B,0.2626,0.5255,0.3482,0.8738,0.4979,0.7622,0.6175
TabNet-Orig,DL,B,0.5,0.6876,0.4479,0.6893,0.543,0.7695,0.6038
TabNet-Orig (t=0.54),DL,B,0.543,0.7007,0.4618,0.6748,0.5483,0.7695,0.6038
MLP-WtAug,DL,C,0.5,0.7451,0.5379,0.3786,0.4444,0.7599,0.5817
MLP-WtAug (t=0.26),DL,C,0.258,0.6627,0.4293,0.767,0.5505,0.7599,0.5817
TabNet-WtAug,DL,C,0.5,0.6889,0.4518,0.7282,0.5576,0.7701,0.5709
TabNet-WtAug (t=0.48),DL,C,0.4751,0.681,0.4444,0.7379,0.5547,0.7701,0.5709
